b,mega_cos,legacy_cos,mega_max,legacy_max,mega_mean,legacy_mean,legacy_ok,gain,mae_percent
1,0.99879658,0.99755728,0.01666,0.02226,0.003732,0.005352,true,1.434x,30.27%
2,0.99879658,0.99755728,0.01867,0.02781,0.003987,0.005748,true,1.442x,30.64%
