prurl,owningteam,composer_type,total_lines_changed,is_everysphere
https://github.com/jacksonzartman-zman/ZARTMAN.io/pull/785,,Regular,116,False
https://github.com/gardenpatch-xyz/petunia/pull/2345,,Regular,893,False
https://github.com/masonbcshin/Fixed-length-string-To-XML/pull/132,16584973,Regular,3,False
https://github.com/golassie/growth/pull/103,1938065,Regular,483,False
https://github.com/Whatnot-Inc/whatnot_backend/pull/63890,2003865,Regular,6,False
https://github.com/portlogics-dev/TOMS-frontend-monorepo/pull/2783,,Regular,3238,False
https://github.com/AranStudio/aran-frontend-service/pull/100,,Regular,492,False
https://github.com/mdavies-solsys/cursor-scratch/pull/48,8399557,Regular,529,False
,,Regular,64066,False
https://github.com/Feverup/compliance-italy/pull/573,5989194,Regular,2,False
https://github.com/getperhaps/fullstack/pull/1246,,Regular,8,False
https://github.com/finnsbali/sm-app/pull/43,,Regular,154,False
https://github.com/veniceai/interface/pull/7715,18130705,Regular,150,False
https://github.com/tmiyasa/eazip2/pull/26,,Regular,3870,False
https://github.com/tomydominguez23/BCP-CORREDORA-DE-SEGUROS/pull/1,,Regular,615,False
https://github.com/businistry/DevOpsGPT/pull/2,,Regular,66,False
https://github.com/Spark-Ordering/SparkPos/pull/387,,Regular,317,False
https://github.com/42techpacks/42-speaks/pull/126,17941905,Regular,5549,False
https://github.com/xl8-ai/www.eventcat.com/pull/2105,12132657,Regular,23,False
https://github.com/veniceai/interface/pull/7723,18130705,Regular,8,False
https://github.com/learyjk/one-shot-alt/pull/12,,Regular,89,False
https://github.com/VibeSlides/vibe-slides/pull/294,1399733,Regular,262,False
https://github.com/kubotops/QuickCal_v5/pull/4,,Regular,13,False
https://github.com/NooksApp/Nooks.in/pull/27124,755701,Regular,8,False
https://github.com/anysphere/anytitan/pull/3637,1,Regular,6,False
https://github.com/csmangum/log-agent/pull/2,,Regular,186,False
https://github.com/buley/emotions/pull/526,,Regular,631,False
https://github.com/buley/emotions/pull/521,,Regular,2105,False
https://github.com/takaosms/image-share-site/pull/4,,Regular,188,False
https://github.com/flashfabrixx/paperarchive-app/pull/397,,Regular,166,False
https://github.com/buley/emotions/pull/518,,Regular,249,False
https://github.com/epicweb-dev/epicshop/pull/540,,Regular,4,False
https://github.com/arminnaimi/beatstep/pull/274,,Regular,3,False
https://github.com/AgenceMiNT/dopamint/pull/37,,Regular,792,False
https://github.com/tailwind8/kurakomi/pull/1,,Regular,207,False
https://github.com/FlowieAI/data-exporter/pull/5,1553765,Regular,248,False
https://github.com/UpliftedAI/api/pull/4033,3463993,Regular,143,False
https://github.com/hyperconnect/mla-flink-apps/pull/448,9763057,Regular,2,False
https://github.com/hyperconnect/deploy-center/pull/12833,9763057,Regular,2,False
https://github.com/hainewlat-boop/envanter/pull/1,,Regular,2264,False
https://github.com/ekline-io/ekline-app/pull/1361,15942973,Regular,31,False
https://github.com/Krafthem/flower-bridge/pull/1018,11939057,Regular,1,False
